Article,Vital_Level,Vital_Category,Level_Quota,SubPage_Quota
Van,4,Technology,3200,3200
Vehicle,4,Technology,3200,3200
Video,4,Technology,3200,3200
Video camera,4,Technology,3200,3200
Voyager program,4,Technology,3200,3200
Wall,4,Arts,3700,3700
War elephant,4,Technology,3200,3200
Warehouse,4,Technology,3200,3200
Warship,4,Technology,3200,3200
Washing machine,4,Technology,3200,3200
Waste,4,Technology,3200,3200
Waste management,4,Technology,3200,3200
Watch,4,Technology,3200,3200
Water purification,4,Technology,3200,3200
Water supply network,4,Technology,3200,3200
Water tower,4,Technology,3200,3200
Watermill,4,Technology,3200,3200
Waveguide,4,Technology,3200,3200
Weapon of mass destruction,4,Technology,3200,3200
Weaving,4,Technology,3200,3200
Web browser,4,Technology,3200,3200
Website,4,Technology,3200,3200
Wedge,4,Technology,3200,3200
Welding,4,Technology,3200,3200
Well,4,Technology,3200,3200
Wheel and axle,4,Technology,3200,3200
Wheelbarrow,4,Technology,3200,3200
Wheelchair,4,Technology,3200,3200
Wi-Fi,4,Technology,3200,3200
Wind turbine,4,Technology,3200,3200
Windmill,4,Technology,3200,3200
Window,4,Arts,3700,3700
Wing,4,Technology,3200,3200
Wire,4,Technology,3200,3200
Woodworking,4,Technology,3200,3200
Wool,4,Technology,3200,3200
Word processor,4,Technology,3200,3200
World Wide Web,4,Technology,3200,3200
Yarn,4,Technology,3200,3200
1,4,Mathematics,1200,1200
Abelian group,4,Mathematics,1200,1200
Abstract algebra,4,Mathematics,1200,1200
Abstract machine,4,Mathematics,1200,1200
Addition,4,Mathematics,1200,1200
Algebraic geometry,4,Mathematics,1200,1200
Algebraic number field,4,Mathematics,1200,1200
Algebraic number theory,4,Mathematics,1200,1200
Algebraic topology,4,Mathematics,1200,1200
Algebraic variety,4,Mathematics,1200,1200
Analytic geometry,4,Mathematics,1200,1200
Analytic number theory,4,Mathematics,1200,1200
Applied mathematics,4,Mathematics,1200,1200
Approximation theory,4,Mathematics,1200,1200
Associative property,4,Mathematics,1200,1200
Axiom,4,Mathematics,1200,1200
Axiom of choice,4,Mathematics,1200,1200
Bayes' theorem,4,Mathematics,1200,1200
Bayesian inference,4,Mathematics,1200,1200
Binary number,4,Mathematics,1200,1200
Binomial distribution,4,Mathematics,1200,1200
Boolean algebra,4,Mathematics,1200,1200
Calculus of variations,4,Mathematics,1200,1200
Cantor's theorem,4,Mathematics,1200,1200
Cartesian coordinate system,4,Mathematics,1200,1200
Category theory,4,Mathematics,1200,1200
Cauchy's integral formula,4,Mathematics,1200,1200
Central limit theorem,4,Mathematics,1200,1200
Chaos theory,4,Mathematics,1200,1200
Chi-squared test,4,Mathematics,1200,1200
Class field theory,4,Mathematics,1200,1200
Classification of finite simple groups,4,Mathematics,1200,1200
Coding theory,4,Mathematics,1200,1200
Combination,4,Mathematics,1200,1200
Combinatorics,4,Mathematics,1200,1200
Commutative algebra,4,Mathematics,1200,1200
Commutative property,4,Mathematics,1200,1200
Commutative ring,4,Mathematics,1200,1200
Compact space,4,Mathematics,1200,1200
Complex analysis,4,Mathematics,1200,1200
Computability theory,4,Mathematics,1200,1200
Computable function,4,Mathematics,1200,1200
Computational complexity theory,4,Mathematics,1200,1200
Conic section,4,Mathematics,1200,1200
Conjecture,4,Mathematics,1200,1200
Constant (mathematics),4,Mathematics,1200,1200
Continuous function,4,Mathematics,1200,1200
Control theory,4,Mathematics,1200,1200
Convex set,4,Mathematics,1200,1200
Coordinate system,4,Mathematics,1200,1200
Correlation,4,Mathematics,1200,1200
Covariance,4,Mathematics,1200,1200
Cross product,4,Mathematics,1200,1200
Cube,4,Mathematics,1200,1200
Curve,4,Mathematics,1200,1200
Data and information visualization,4,Mathematics,1200,1200
Data compression,4,Mathematics,1200,1200
Data structure,4,Mathematics,1200,1200
Decimal,4,Mathematics,1200,1200
Del,4,Mathematics,1200,1200
Derivative,4,Mathematics,1200,1200
Design of experiments,4,Mathematics,1200,1200
Determinant,4,Mathematics,1200,1200
Differential calculus,4,Mathematics,1200,1200
Differential equation,4,Mathematics,1200,1200
Differential geometry,4,Mathematics,1200,1200
Dimension,4,Mathematics,1200,1200
Diophantine equation,4,Mathematics,1200,1200
Discrete mathematics,4,Mathematics,1200,1200
Discrete uniform distribution,4,Mathematics,1200,1200
Distance,4,Mathematics,1200,1200
Distributive property,4,Mathematics,1200,1200
Division (mathematics),4,Mathematics,1200,1200
Dot product,4,Mathematics,1200,1200
Dynamical system,4,Mathematics,1200,1200
Dynamical systems theory,4,Mathematics,1200,1200
Eigenvalues and eigenvectors,4,Mathematics,1200,1200
Elementary algebra,4,Mathematics,1200,1200
Ellipse,4,Mathematics,1200,1200
Empty set,4,Mathematics,1200,1200
Equation solving,4,Mathematics,1200,1200
Equivalence relation,4,Mathematics,1200,1200
Error detection and correction,4,Mathematics,1200,1200
Euclid's theorem,4,Mathematics,1200,1200
Euclidean algorithm,4,Mathematics,1200,1200
Euclidean geometry,4,Mathematics,1200,1200
Euclidean plane,4,Mathematics,1200,1200
Euclidean vector,4,Mathematics,1200,1200
Euler's formula,4,Mathematics,1200,1200
Euler's identity,4,Mathematics,1200,1200
Euler characteristic,4,Mathematics,1200,1200
Expected value,4,Mathematics,1200,1200
Exponential distribution,4,Mathematics,1200,1200
Exponential function,4,Mathematics,1200,1200
Factorial,4,Mathematics,1200,1200
Fermat's Last Theorem,4,Mathematics,1200,1200
Fibonacci sequence,4,Mathematics,1200,1200
Field (mathematics),4,Mathematics,1200,1200
First-order logic,4,Mathematics,1200,1200
Formal language,4,Mathematics,1200,1200
Formula,4,Mathematics,1200,1200
Fourier analysis,4,Mathematics,1200,1200
Fourier series,4,Mathematics,1200,1200
Fourier transform,4,Mathematics,1200,1200
Fractal,4,Mathematics,1200,1200
Function composition,4,Mathematics,1200,1200
Functional analysis,4,Mathematics,1200,1200
Fundamental group,4,Mathematics,1200,1200
Fundamental theorem of algebra,4,Mathematics,1200,1200
Fundamental theorem of arithmetic,4,Mathematics,1200,1200
Fundamental theorem of calculus,4,Mathematics,1200,1200
Galois theory,4,Mathematics,1200,1200
Game theory,4,Mathematics,1200,1200
Gamma function,4,Mathematics,1200,1200
Gaussian elimination,4,Mathematics,1200,1200
General topology,4,Mathematics,1200,1200
Golden ratio,4,Mathematics,1200,1200
Graph (discrete mathematics),4,Mathematics,1200,1200
Graph of a function,4,Mathematics,1200,1200
Graph theory,4,Mathematics,1200,1200
Group (mathematics),4,Mathematics,1200,1200
Group representation,4,Mathematics,1200,1200
Group theory,4,Mathematics,1200,1200
Gödel's incompleteness theorems,4,Mathematics,1200,1200
Harmonic analysis,4,Mathematics,1200,1200
Hilbert's problems,4,Mathematics,1200,1200
Hilbert space,4,Mathematics,1200,1200
Holomorphic function,4,Mathematics,1200,1200
Homological algebra,4,Mathematics,1200,1200
Homology (mathematics),4,Mathematics,1200,1200
Homotopy,4,Mathematics,1200,1200
Hyperbola,4,Mathematics,1200,1200
Hyperbolic functions,4,Mathematics,1200,1200
Imaginary number,4,Mathematics,1200,1200
Imaginary unit,4,Mathematics,1200,1200
Implicit function,4,Mathematics,1200,1200
Inequality (mathematics),4,Mathematics,1200,1200
Information theory,4,Mathematics,1200,1200
Integral,4,Mathematics,1200,1200
Intersection (set theory),4,Mathematics,1200,1200
Inverse function,4,Mathematics,1200,1200
Irrational number,4,Mathematics,1200,1200
Isomorphism,4,Mathematics,1200,1200
Knot theory,4,Mathematics,1200,1200
Laplace's equation,4,Mathematics,1200,1200
Laplace transform,4,Mathematics,1200,1200
Law of large numbers,4,Mathematics,1200,1200
Length,4,Mathematics,1200,1200
Limit of a function,4,Mathematics,1200,1200
Limit of a sequence,4,Mathematics,1200,1200
Linear equation,4,Mathematics,1200,1200
Linear programming,4,Mathematics,1200,1200
Manifold,4,Mathematics,1200,1200
Markov chain,4,Mathematics,1200,1200
Mathematical induction,4,Mathematics,1200,1200
Mathematical logic,4,Mathematics,1200,1200
Mathematical optimization,4,Mathematics,1200,1200
Matrix (mathematics),4,Mathematics,1200,1200
Mean,4,Mathematics,1200,1200
Median,4,Mathematics,1200,1200
Meta-analysis,4,Mathematics,1200,1200
Metric space,4,Mathematics,1200,1200
Mode (statistics),4,Mathematics,1200,1200
Modular arithmetic,4,Mathematics,1200,1200
Module (mathematics),4,Mathematics,1200,1200
Multiple integral,4,Mathematics,1200,1200
Multiplication,4,Mathematics,1200,1200
Multivariable calculus,4,Mathematics,1200,1200
Naive set theory,4,Mathematics,1200,1200
Negative number,4,Mathematics,1200,1200
Non-Euclidean geometry,4,Mathematics,1200,1200
Nonlinear programming,4,Mathematics,1200,1200
Normal distribution,4,Mathematics,1200,1200
Numerical analysis,4,Mathematics,1200,1200
Numerical digit,4,Mathematics,1200,1200
Numerical integration,4,Mathematics,1200,1200
Observational study,4,Mathematics,1200,1200
Open set,4,Mathematics,1200,1200
Operations research,4,Mathematics,1200,1200
Order of operations,4,Mathematics,1200,1200
Ordinary differential equation,4,Mathematics,1200,1200
Ordinary least squares,4,Mathematics,1200,1200
P-value,4,Mathematics,1200,1200
P versus NP problem,4,Mathematics,1200,1200
Parabola,4,Mathematics,1200,1200
Parametric equation,4,Mathematics,1200,1200
Parity (mathematics),4,Mathematics,1200,1200
Partial derivative,4,Mathematics,1200,1200
Partial differential equation,4,Mathematics,1200,1200
Percentage,4,Mathematics,1200,1200
Permutation,4,Mathematics,1200,1200
Plane (mathematics),4,Mathematics,1200,1200
Poincaré conjecture,4,Mathematics,1200,1200
Point (geometry),4,Mathematics,1200,1200
Poisson distribution,4,Mathematics,1200,1200
Polar coordinate system,4,Mathematics,1200,1200
Polyhedron,4,Mathematics,1200,1200
Polynomial,4,Mathematics,1200,1200
Positional notation,4,Mathematics,1200,1200
Prime number theorem,4,Mathematics,1200,1200
Probability density function,4,Mathematics,1200,1200
Probability distribution,4,Mathematics,1200,1200
Probability theory,4,Mathematics,1200,1200
Propositional calculus,4,Mathematics,1200,1200
Pure mathematics,4,Mathematics,1200,1200
Pythagorean theorem,4,Mathematics,1200,1200
Quadratic equation,4,Mathematics,1200,1200
Quadrilateral,4,Mathematics,1200,1200
Random variable,4,Mathematics,1200,1200
Randomized controlled trial,4,Mathematics,1200,1200
Rational number,4,Mathematics,1200,1200
Real analysis,4,Mathematics,1200,1200
Regression analysis,4,Mathematics,1200,1200
Representation theory,4,Mathematics,1200,1200
Riemann hypothesis,4,Mathematics,1200,1200
Riemann surface,4,Mathematics,1200,1200
Riemannian geometry,4,Mathematics,1200,1200
Riemannian manifold,4,Mathematics,1200,1200
Right angle,4,Mathematics,1200,1200
Ring (mathematics),4,Mathematics,1200,1200
Ring theory,4,Mathematics,1200,1200
Roman numerals,4,Mathematics,1200,1200
Russell's paradox,4,Mathematics,1200,1200
Sampling (statistics),4,Mathematics,1200,1200
Scientific notation,4,Mathematics,1200,1200
Sequence,4,Mathematics,1200,1200
Set theory,4,Mathematics,1200,1200
Shape,4,Mathematics,1200,1200
Sheaf (mathematics),4,Mathematics,1200,1200
Sphere,4,Mathematics,1200,1200
Square,4,Mathematics,1200,1200
Square root,4,Mathematics,1200,1200
Standard deviation,4,Mathematics,1200,1200
Standard error,4,Mathematics,1200,1200
Statistical hypothesis test,4,Mathematics,1200,1200
Statistical population,4,Mathematics,1200,1200
Stochastic process,4,Mathematics,1200,1200
Student's t-test,4,Mathematics,1200,1200
Subset,4,Mathematics,1200,1200
Subtraction,4,Mathematics,1200,1200
Survey methodology,4,Mathematics,1200,1200
Symmetry,4,Mathematics,1200,1200
Symmetry in mathematics,4,Mathematics,1200,1200
Taylor series,4,Mathematics,1200,1200
Tensor,4,Mathematics,1200,1200
Tessellation,4,Mathematics,1200,1200
Theorem,4,Mathematics,1200,1200
Theoretical computer science,4,Mathematics,1200,1200
Theory of computation,4,Mathematics,1200,1200
Topological space,4,Mathematics,1200,1200
Trigonometric functions,4,Mathematics,1200,1200
Union (set theory),4,Mathematics,1200,1200
Variance,4,Mathematics,1200,1200
Vector calculus,4,Mathematics,1200,1200
Vector space,4,Mathematics,1200,1200
Venn diagram,4,Mathematics,1200,1200
A. A. Milne,5,Writers and journalists,15100,2000
A. E. van Vogt,5,Writers and journalists,15100,2000
A. S. Byatt,5,Writers and journalists,15100,2000
Abbé Prévost,5,Writers and journalists,15100,2000
Abdulrazak Gurnah,5,Writers and journalists,15100,2000
Aesop,5,Writers and journalists,15100,2000
Ahlam Mosteghanemi,5,Writers and journalists,15100,2000
Ahmed Ali (writer),5,Writers and journalists,15100,2000
Alain Robbe-Grillet,5,Writers and journalists,15100,2000
Alan Hollinghurst,5,Writers and journalists,15100,2000
Alan Lightman,5,Writers and journalists,15100,2000
Alan Paton,5,Writers and journalists,15100,2000
Albert Cohen (novelist),5,Writers and journalists,15100,2000
Alberto Moravia,5,Writers and journalists,15100,2000
Aldous Huxley,5,Writers and journalists,15100,2000
Aleksandr I. Kuprin,5,Writers and journalists,15100,2000
Aleksey Nikolayevich Tolstoy,5,Writers and journalists,15100,2000
Aleksey Pisemsky,5,Writers and journalists,15100,2000
Aleksey Remizov,5,Writers and journalists,15100,2000
Aleksis Kivi,5,Writers and journalists,15100,2000
Alessandro Manzoni,5,Writers and journalists,15100,2000
Alex Haley,5,Writers and journalists,15100,2000
Alexander Belyaev,5,Writers and journalists,15100,2000
Alexander Fadeyev (writer),5,Writers and journalists,15100,2000
Alexander Grin,5,Writers and journalists,15100,2000
Alexander Herzen,5,Writers and journalists,15100,2000
Alexander Karasyov,5,Writers and journalists,15100,2000
Alexander Kielland,5,Writers and journalists,15100,2000
Alexander Radishchev,5,Writers and journalists,15100,2000
Alexandre Dumas fils,5,Writers and journalists,15100,2000
Alf Prøysen,5,Writers and journalists,15100,2000
Alfred Döblin,5,Writers and journalists,15100,2000
Alice Munro,5,Writers and journalists,15100,2000
Alice Walker,5,Writers and journalists,15100,2000
Alistair MacLean,5,Writers and journalists,15100,2000
Alki Zei,5,Writers and journalists,15100,2000
Aloysius Bertrand,5,Writers and journalists,15100,2000
Alphonse Daudet,5,Writers and journalists,15100,2000
Aluísio Azevedo,5,Writers and journalists,15100,2000
Ambrose Bierce,5,Writers and journalists,15100,2000
Amelia Opie,5,Writers and journalists,15100,2000
Amos Oz,5,Writers and journalists,15100,2000
Amy Tan,5,Writers and journalists,15100,2000
Anatole France,5,Writers and journalists,15100,2000
Anaïs Nin,5,Writers and journalists,15100,2000
Andrei Bely,5,Writers and journalists,15100,2000
Andrei Platonov,5,Writers and journalists,15100,2000
Andrzej Sapkowski,5,Writers and journalists,15100,2000
André Jullien,5,Writers and journalists,15100,2000
André Pieyre de Mandiargues,5,Writers and journalists,15100,2000
Ann M. Martin,5,Writers and journalists,15100,2000
Ann Radcliffe,5,Writers and journalists,15100,2000
Ann Rule,5,Writers and journalists,15100,2000
Anna Sewell,5,Writers and journalists,15100,2000
Anne Brontë,5,Writers and journalists,15100,2000
Anne Enright,5,Writers and journalists,15100,2000
Anne Golon,5,Writers and journalists,15100,2000
Anne McCaffrey,5,Writers and journalists,15100,2000
Anne Perry,5,Writers and journalists,15100,2000
Anne Rice,5,Writers and journalists,15100,2000
Anne Tyler,5,Writers and journalists,15100,2000
Annie Dillard,5,Writers and journalists,15100,2000
Annie M.G. Schmidt,5,Writers and journalists,15100,2000
Anthony Burgess,5,Writers and journalists,15100,2000
Anthony Powell,5,Writers and journalists,15100,2000
Anthony Trollope,5,Writers and journalists,15100,2000
Antoine Galland,5,Writers and journalists,15100,2000
Antoine de Rivarol,5,Writers and journalists,15100,2000
Antoine de Saint-Exupéry,5,Writers and journalists,15100,2000
Anton Donchev,5,Writers and journalists,15100,2000
Apuleius,5,Writers and journalists,15100,2000
Aravind Adiga,5,Writers and journalists,15100,2000
Arkady and Boris Strugatsky,5,Writers and journalists,15100,2000
Arne Garborg,5,Writers and journalists,15100,2000
Arsen Kotsoyev,5,Writers and journalists,15100,2000
Arthur Hailey,5,Writers and journalists,15100,2000
Arthur Koestler,5,Writers and journalists,15100,2000
Arturo Pérez-Reverte,5,Writers and journalists,15100,2000
Arundhati Roy,5,Writers and journalists,15100,2000
Asai Ryōi,5,Writers and journalists,15100,2000
Audre Lorde,5,Writers and journalists,15100,2000
Auguste Villiers de l'Isle-Adam,5,Writers and journalists,15100,2000
Baldassare Castiglione,5,Writers and journalists,15100,2000
Bankim Chandra Chatterjee,5,Writers and journalists,15100,2000
Barbara Cartland,5,Writers and journalists,15100,2000
Barbara Kingsolver,5,Writers and journalists,15100,2000
Barry Unsworth,5,Writers and journalists,15100,2000
Beatrix Potter,5,Writers and journalists,15100,2000
Begum Rokeya,5,Writers and journalists,15100,2000
Benito Pérez Galdós,5,Writers and journalists,15100,2000
Bernardine Evaristo,5,Writers and journalists,15100,2000
Bernhard Schlink,5,Writers and journalists,15100,2000
Bernice Rubens,5,Writers and journalists,15100,2000
Bettina von Arnim,5,Writers and journalists,15100,2000
Beverly Cleary,5,Writers and journalists,15100,2000
Blaise Cendrars,5,Writers and journalists,15100,2000
Bohumil Hrabal,5,Writers and journalists,15100,2000
Bolesław Prus,5,Writers and journalists,15100,2000
Booth Tarkington,5,Writers and journalists,15100,2000
Boris Akunin,5,Writers and journalists,15100,2000
Borzuya,5,Writers and journalists,15100,2000
Božena Němcová,5,Writers and journalists,15100,2000
Bram Stoker,5,Writers and journalists,15100,2000
Bret Easton Ellis,5,Writers and journalists,15100,2000
Bret Harte,5,Writers and journalists,15100,2000
Bruno Schulz,5,Writers and journalists,15100,2000
Buchi Emecheta,5,Writers and journalists,15100,2000
Bāṇabhaṭṭa,5,Writers and journalists,15100,2000
C. J. Cherryh,5,Writers and journalists,15100,2000
Camilo José Cela,5,Writers and journalists,15100,2000
Candace Bushnell,5,Writers and journalists,15100,2000
Cao Xueqin,5,Writers and journalists,15100,2000
Captain Charles Johnson,5,Writers and journalists,15100,2000
Carlos Ruiz Zafón,5,Writers and journalists,15100,2000
Carolyn Keene,5,Writers and journalists,15100,2000
Carson McCullers,5,Writers and journalists,15100,2000
Catherine Cookson,5,Writers and journalists,15100,2000
Catherynne M. Valente,5,Writers and journalists,15100,2000
Cecily von Ziegesar,5,Writers and journalists,15100,2000
Charles Brockden Brown,5,Writers and journalists,15100,2000
Charles Cotton,5,Writers and journalists,15100,2000
Charles Paul de Kock,5,Writers and journalists,15100,2000
Charles Warren Stoddard,5,Writers and journalists,15100,2000
Charlotte Brontë,5,Writers and journalists,15100,2000
Chart Korbjitti,5,Writers and journalists,15100,2000
Cheryl Strayed,5,Writers and journalists,15100,2000
Chimamanda Ngozi Adichie,5,Writers and journalists,15100,2000
Chiung Yao,5,Writers and journalists,15100,2000
Christopher Isherwood,5,Writers and journalists,15100,2000
Christopher Pike (author),5,Writers and journalists,15100,2000
Chuck Palahniuk,5,Writers and journalists,15100,2000
Clarice Lispector,5,Writers and journalists,15100,2000
Claude Simon,5,Writers and journalists,15100,2000
Clive Barker,5,Writers and journalists,15100,2000
Clive Cussler,5,Writers and journalists,15100,2000
Colette,5,Writers and journalists,15100,2000
Colm Tóibín,5,Writers and journalists,15100,2000
Colson Whitehead,5,Writers and journalists,15100,2000
Compton Mackenzie,5,Writers and journalists,15100,2000
Cormac McCarthy,5,Writers and journalists,15100,2000
Cornelia Funke,5,Writers and journalists,15100,2000
Cornell Woolrich,5,Writers and journalists,15100,2000
Corín Tellado,5,Writers and journalists,15100,2000
Dale Carnegie,5,Writers and journalists,15100,2000
Dambudzo Marechera,5,Writers and journalists,15100,2000
Damon Runyon,5,Writers and journalists,15100,2000
Dan Brown,5,Writers and journalists,15100,2000
Daniel Handler,5,Writers and journalists,15100,2000
Danielle Steel,5,Writers and journalists,15100,2000
Daphne du Maurier,5,Writers and journalists,15100,2000
Dashiell Hammett,5,Writers and journalists,15100,2000
David Foster Wallace,5,Writers and journalists,15100,2000
David Grossman,5,Writers and journalists,15100,2000
David Mitchell (author),5,Writers and journalists,15100,2000
Daṇḍin,5,Writers and journalists,15100,2000
Dean Koontz,5,Writers and journalists,15100,2000
Debbie Macomber,5,Writers and journalists,15100,2000
Denise Robins,5,Writers and journalists,15100,2000
Derek Raymond,5,Writers and journalists,15100,2000
Diana Gabaldon,5,Writers and journalists,15100,2000
Dick Francis,5,Writers and journalists,15100,2000
Dick King-Smith,5,Writers and journalists,15100,2000
Dimitar Talev,5,Writers and journalists,15100,2000
Dino Buzzati,5,Writers and journalists,15100,2000
Djuna Barnes,5,Writers and journalists,15100,2000
Dmitry Glukhovsky,5,Writers and journalists,15100,2000
Dmitry Merezhkovsky,5,Writers and journalists,15100,2000
Don DeLillo,5,Writers and journalists,15100,2000
Donna Tartt,5,Writers and journalists,15100,2000
Doris Lessing,5,Writers and journalists,15100,2000
Dorothy L. Sayers,5,Writers and journalists,15100,2000
Dorothy West,5,Writers and journalists,15100,2000
Douglas Adams,5,Writers and journalists,15100,2000
E. B. White,5,Writers and journalists,15100,2000
E. L. James,5,Writers and journalists,15100,2000
E. M. Forster,5,Writers and journalists,15100,2000
E. Nesbit,5,Writers and journalists,15100,2000
E. Phillips Oppenheim,5,Writers and journalists,15100,2000
E. T. A. Hoffmann,5,Writers and journalists,15100,2000
Edgar Rice Burroughs,5,Writers and journalists,15100,2000
Edgar Wallace,5,Writers and journalists,15100,2000
Edna Ferber,5,Writers and journalists,15100,2000
Edna O'Brien,5,Writers and journalists,15100,2000
Edogawa Ranpo,5,Writers and journalists,15100,2000
Eduard Uspensky,5,Writers and journalists,15100,2000
Edward Bulwer-Lytton,5,Writers and journalists,15100,2000
Edward William Lane,5,Writers and journalists,15100,2000
Eileen Chang,5,Writers and journalists,15100,2000
Eleanor Alice Burford,5,Writers and journalists,15100,2000
Elena Ferrante,5,Writers and journalists,15100,2000
Elfriede Jelinek,5,Writers and journalists,15100,2000
Elias Canetti,5,Writers and journalists,15100,2000
Elizabeth Gaskell,5,Writers and journalists,15100,2000
Elizabeth Wurtzel,5,Writers and journalists,15100,2000
Emily Brontë,5,Writers and journalists,15100,2000
Emmanuelle Arsan,5,Writers and journalists,15100,2000
Eoin Colfer,5,Writers and journalists,15100,2000
Erica Jong,5,Writers and journalists,15100,2000
Erich Maria Remarque,5,Writers and journalists,15100,2000
Erle Stanley Gardner,5,Writers and journalists,15100,2000
Ernesto Sabato,5,Writers and journalists,15100,2000
Erskine Caldwell,5,Writers and journalists,15100,2000
Erskine Childers (author),5,Writers and journalists,15100,2000
Eudora Welty,5,Writers and journalists,15100,2000
Eugène Sue,5,Writers and journalists,15100,2000
Evelyn Waugh,5,Writers and journalists,15100,2000
Eyvind Johnson,5,Writers and journalists,15100,2000
Eça de Queiroz,5,Writers and journalists,15100,2000
Felix Salten,5,Writers and journalists,15100,2000
Flannery O'Connor,5,Writers and journalists,15100,2000
Ford Madox Ford,5,Writers and journalists,15100,2000
Frances Hodgson Burnett,5,Writers and journalists,15100,2000
Frank Harris,5,Writers and journalists,15100,2000
Frank Herbert,5,Writers and journalists,15100,2000
Frans Eemil Sillanpää,5,Writers and journalists,15100,2000
Franz Werfel,5,Writers and journalists,15100,2000
François-René de Chateaubriand,5,Writers and journalists,15100,2000
François Mauriac,5,Writers and journalists,15100,2000
François de La Rochefoucauld (writer),5,Writers and journalists,15100,2000
Françoise Sagan,5,Writers and journalists,15100,2000
Frederick Marryat,5,Writers and journalists,15100,2000
Frederik Pohl,5,Writers and journalists,15100,2000
Frédéric Dard,5,Writers and journalists,15100,2000
Frédéric Mistral,5,Writers and journalists,15100,2000
G. K. Chesterton,5,Writers and journalists,15100,2000
Gaito Gazdanov,5,Writers and journalists,15100,2000
Gao Xingjian,5,Writers and journalists,15100,2000
Gaston Leroux,5,Writers and journalists,15100,2000
Gene Wolfe,5,Writers and journalists,15100,2000
George MacDonald,5,Writers and journalists,15100,2000
George Meredith,5,Writers and journalists,15100,2000
George R. R. Martin,5,Writers and journalists,15100,2000
George Sand,5,Writers and journalists,15100,2000
George Saunders,5,Writers and journalists,15100,2000
Georges Bernanos,5,Writers and journalists,15100,2000
Georges Perec,5,Writers and journalists,15100,2000
Georges Simenon,5,Writers and journalists,15100,2000
Georgette Heyer,5,Writers and journalists,15100,2000
Gerard Reve,5,Writers and journalists,15100,2000
Germaine de Staël,5,Writers and journalists,15100,2000
Gertrude Stein,5,Writers and journalists,15100,2000
Ghassan Kanafani,5,Writers and journalists,15100,2000
Gianni Rodari,5,Writers and journalists,15100,2000
Giovanni Verga,5,Writers and journalists,15100,2000
Giuseppe Tomasi di Lampedusa,5,Writers and journalists,15100,2000
Goh Poh Seng,5,Writers and journalists,15100,2000
Gore Vidal,5,Writers and journalists,15100,2000
Graciliano Ramos,5,Writers and journalists,15100,2000
Graham Greene,5,Writers and journalists,15100,2000
Graham Swift,5,Writers and journalists,15100,2000
Grazia Deledda,5,Writers and journalists,15100,2000
Gu Byeong-mo,5,Writers and journalists,15100,2000
Gérard de Nerval,5,Writers and journalists,15100,2000
Gérard de Villiers,5,Writers and journalists,15100,2000
Géza Gárdonyi,5,Writers and journalists,15100,2000
Günter Grass,5,Writers and journalists,15100,2000
H. A. Rey,5,Writers and journalists,15100,2000
Han Kang,5,Writers and journalists,15100,2000
Han Sorya,5,Writers and journalists,15100,2000
Harlan Ellison,5,Writers and journalists,15100,2000
Harold Robbins,5,Writers and journalists,15100,2000
Harper Lee,5,Writers and journalists,15100,2000
Harriet Beecher Stowe,5,Writers and journalists,15100,2000
Harry Mulisch,5,Writers and journalists,15100,2000
Heinrich Böll,5,Writers and journalists,15100,2000
Helen Fielding,5,Writers and journalists,15100,2000
Henri Charrière,5,Writers and journalists,15100,2000
Henrik Pontoppidan,5,Writers and journalists,15100,2000
Henry Darger,5,Writers and journalists,15100,2000
Henry Miller,5,Writers and journalists,15100,2000
Henry de Montherlant,5,Writers and journalists,15100,2000
Herbert Huncke,5,Writers and journalists,15100,2000
Herman Wouk,5,Writers and journalists,15100,2000
Herta Müller,5,Writers and journalists,15100,2000
Hilary Mantel,5,Writers and journalists,15100,2000
Hong Myong-hui,5,Writers and journalists,15100,2000
Hong Sok-jung,5,Writers and journalists,15100,2000
Honoré d'Urfé,5,Writers and journalists,15100,2000
Horace Walpole,5,Writers and journalists,15100,2000
Horatio Alger,5,Writers and journalists,15100,2000
Howard Jacobson,5,Writers and journalists,15100,2000
Hugh Lofting,5,Writers and journalists,15100,2000
Hulda Garborg,5,Writers and journalists,15100,2000
Iain Banks,5,Writers and journalists,15100,2000
Ian Fleming,5,Writers and journalists,15100,2000
Ian McEwan,5,Writers and journalists,15100,2000
Ibn Tufayl,5,Writers and journalists,15100,2000
Ibn al-Muqaffa',5,Writers and journalists,15100,2000
Iceberg Slim,5,Writers and journalists,15100,2000
Ichiyō Higuchi,5,Writers and journalists,15100,2000
Ignacio Manuel Altamirano,5,Writers and journalists,15100,2000
Ilf and Petrov,5,Writers and journalists,15100,2000
Ilse Aichinger,5,Writers and journalists,15100,2000
Ilya Ehrenburg,5,Writers and journalists,15100,2000
Imre Kertész,5,Writers and journalists,15100,2000
Iris Murdoch,5,Writers and journalists,15100,2000
Irvine Welsh,5,Writers and journalists,15100,2000
Irving Wallace,5,Writers and journalists,15100,2000
Isaac Babel,5,Writers and journalists,15100,2000
Isaac Bashevis Singer,5,Writers and journalists,15100,2000
Isabel Allende,5,Writers and journalists,15100,2000
Italo Calvino,5,Writers and journalists,15100,2000
Italo Svevo,5,Writers and journalists,15100,2000
Ivan Cankar,5,Writers and journalists,15100,2000
Ivan Goncharov,5,Writers and journalists,15100,2000
Ivan Krylov,5,Writers and journalists,15100,2000
Ivo Andrić,5,Writers and journalists,15100,2000
J. B. Priestley,5,Writers and journalists,15100,2000
J. D. Salinger,5,Writers and journalists,15100,2000
J. E. Casely Hayford,5,Writers and journalists,15100,2000
